Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
22,Celsius,CEL,celsius-degree-token,"$1,550,137,281.50",$6.49,238.863.520 CEL,"$30,908,871.03","-0,16%","8,17%","52,47%"
23,Uniswap,UNI,uniswap,"$1,465,283,748.26",$5.45,269.005.936 UNI *,"$2,184,123,152.72","1,86%","12,42%","51,53%"
31,Aave,AAVE,aave,"$1,097,389,994.14",$91.10,12.046.436 AAVE *,"$298,884,107.12","0,15%","6,28%","18,36%"
32,Synthetix,SNX,havven,"$1,047,398,232.67",$9.48,110.519.345 SNX *,"$155,007,356.50","0,84%","15,81%","17,91%"
40,yearn.finance,YFI,yearn-finance,"$710,506,937.00","$23,708.23",29.969 YFI *,"$629,625,452.30","1,65%","10,25%","4,10%"
41,Maker,MKR,maker,"$676,648,940.74",$678.72,996.951 MKR *,"$110,201,825.29","-0,78%","11,39%","20,26%"
43,Compound,COMP,compound-governance-token,"$646,224,973.86",$146.20,4.420.118 COMP *,"$164,874,016.20","-1,16%","6,94%","11,33%"
45,SushiSwap,SUSHI,sushi,"$617,734,418.96",$3.44,179.520.219 SUSHI *,"$410,863,381.14","-0,89%","7,67%","31,09%"
50,UMA,UMA,uma,"$471,900,532.73",$8.50,55.506.671 UMA *,"$18,650,712.63","-0,01%","2,92%","7,58%"
51,OKB,OKB,okb,"$453,106,267.04",$7.55,60.000.000 OKB *,"$385,009,075.63","-0,67%","-9,40%","15,15%"
