Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
10,Uniswap,UNI,uniswap,"$12,198,611,170.77",$20.77,587.265.785 UNI *,"$540,490,915.07","-0,59%","6,39%","21,50%"
16,Polygon,MATIC,matic-network,"$7,235,477,777.71",$1.15,6.303.422.325 MATIC *,"$510,476,355.95","-0,75%","2,61%","3,22%"
28,Aave,AAVE,aave,"$3,555,054,096.36",$277.04,12.832.333 AAVE *,"$427,571,943.31","-0,38%","6,69%","36,69%"
32,Maker,MKR,maker,"$2,774,284,027.97","$2,798.52",991.340 MKR *,"$129,735,245.61","-1,43%","6,20%","31,38%"
43,Compound,COMP,compound-governance-token,"$2,370,436,418.43",$444.56,5.332.140 COMP *,"$442,261,432.63","0,17%","17,09%","72,87%"
47,The Graph,GRT,the-graph,"$2,086,381,000.29",$0.72,2.897.903.422 GRT *,"$221,150,652.35","0,25%","6,43%","29,13%"
56,Celsius,CEL,celsius-degree-token,"$1,653,129,920.44",$6.92,238.863.520 CEL *,"$8,933,675.10","-0,08%","1,90%","31,96%"
63,XinFin Network,XDC,xdce-crowd-sale,"$1,455,339,597.52",$0.1185,12.278.001.748 XDC,"$8,592,453.15","5,21%","15,76%","73,27%"
66,yearn.finance,YFI,yearn-finance,"$1,223,793,364.79","$33,404.63",36.635 YFI *,"$190,247,025.85","-0,80%","2,33%","10,70%"
69,SushiSwap,SUSHI,sushi,"$1,010,175,856.72",$7.94,127.244.443 SUSHI *,"$160,570,120.50","-0,79%","4,26%","11,64%"
71,Synthetix,SNX,havven,"$989,642,538.04",$8.62,114.841.533 SNX *,"$117,106,385.48","0,48%","18,42%","34,92%"
74,Decentraland,MANA,decentraland,"$978,430,066.41",$0.5805,1.685.545.931 MANA *,"$47,432,938.13","-0,31%","3,81%","17,60%"
80,Nexo,NEXO,nexo,"$870,666,828.40",$1.55,560.000.011 NEXO *,"$6,064,184.12","-0,54%","2,88%","24,29%"
83,Bancor,BNT,bancor,"$760,517,187.03",$3.38,225.078.461 BNT *,"$39,377,207.77","-0,26%","3,41%","10,58%"
86,Curve DAO Token,CRV,curve-dao-token,"$695,680,125.40",$1.84,377.933.196 CRV *,"$118,916,795.04","-0,17%","4,66%","16,55%"
92,OKB,OKB,okb,"$643,426,194.19",$10.72,60.000.000 OKB *,"$202,918,381.21","-0,81%","0,73%","7,63%"
94,SwissBorg,CHSB,swissborg,"$627,959,625.58",$0.628,1.000.000.000 CHSB *,"$1,500,855.21","-1,19%","1,61%","27,14%"
96,Fantom,FTM,fantom,"$617,783,618.23",$0.2427,2.545.006.273 FTM *,"$31,736,093.36","0,21%","3,54%","11,65%"
98,0x,ZRX,0x,"$611,647,701.59",$0.7236,845.323.731 ZRX *,"$39,348,062.88","-0,49%","2,90%","13,77%"
99,UMA,UMA,uma,"$609,098,021.97",$9.87,61.717.812 UMA *,"$32,283,983.39","0,11%","5,17%","17,60%"
103,Ankr,ANKR,ankr,"$530,868,343.13",$0.07588,6.996.232.711 ANKR *,"$17,698,981.15","-0,10%","1,37%","6,51%"
107,1inch,1INCH,1inch,"$438,211,566.74",$2.53,172.896.159 1INCH *,"$67,466,621.40","-1,02%","2,65%","1,16%"
112,Livepeer,LPT,livepeer,"$385,455,836.59",$18.21,21.164.655 LPT *,"$7,375,791.65","-0,85%","1,36%","-9,70%"
118,Kyber Network Crystal Legacy,KNC,kyber-network-crystal,"$331,772,047.34",$1.62,205.045.092 KNC *,"$32,583,100.81","-0,62%","1,21%","19,77%"
119,Reserve Rights,RSR,reserve-rights-token,"$333,393,575.07",$0.02533,13.159.999.000 RSR *,"$24,433,391.29","-0,57%","4,51%","13,63%"
126,Gnosis,GNO,gnosis,"$279,765,571.09",$185.94,1.504.587 GNO *,"$1,632,331.37","-0,06%","0,13%","3,95%"
127,Ocean Protocol,OCEAN,ocean-protocol,"$278,669,850.61",$0.4545,613.099.141 OCEAN *,"$11,744,336.00","0,45%","1,96%","10,43%"
129,Wootrade,WOO,woo-network,"$269,969,038.99",$0.7176,376.235.705 WOO *,"$30,772,561.24","-0,38%","3,90%","12,87%"
131,Status,SNT,status,"$257,833,184.13",$0.07429,3.470.483.788 SNT *,"$15,721,361.67","0,13%","0,38%","64,53%"
139,Stratis,STRAX,stratis,"$235,887,725.72",$1.77,132.944.948 STRAX *,"$3,948,613.30","0,86%","-0,19%","38,44%"
