Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,bitcoin,"$609,409,213,147.03","$32,782.02",18.589.737 BTC,"$78,665,235,201.84","-0,61%","2,04%","24,78%"
2,Ethereum,ETH,ethereum,"$111,309,985,610.91",$975.51,114.104.675 ETH,"$45,200,463,368.21","-1,39%","25,95%","42,90%"
3,Tether,USDT,tether,"$21,340,101,768.04",$1.00,21.329.136.250 USDT *,"$120,425,679,796.27","-0,01%","-0,01%","0,17%"
4,Litecoin,LTC,litecoin,"$10,610,100,156.81",$160.19,66.234.230 LTC,"$15,385,661,270.67","1,96%","16,97%","25,62%"
5,XRP,XRP,ripple,"$10,254,417,776.80",$0.2258,45.404.028.640 XRP *,"$5,109,898,871.42","0,05%","1,89%","-20,21%"
6,Polkadot,DOT,polkadot,"$8,995,148,461.43",$10.03,896.530.965 DOT *,"$3,032,883,074.26","-1,82%","8,95%","95,34%"
7,Bitcoin Cash,BCH,bitcoin-cash,"$7,845,655,333.38",$421.79,18.600.863 BCH,"$7,273,123,206.61","2,39%","18,95%","24,72%"
8,Cardano,ADA,cardano,"$6,377,915,101.91",$0.205,31.112.484.646 ADA,"$2,303,857,908.87","2,21%","15,54%","32,75%"
9,Binance Coin,BNB,binancecoin,"$5,942,182,740.66",$41.15,144.406.561 BNB *,"$758,008,613.17","0,80%","7,60%","22,79%"
10,Chainlink,LINK,chainlink,"$5,453,374,284.89",$13.65,399.509.556 LINK *,"$2,298,964,833.06","-1,95%","11,70%","12,54%"
11,USD Coin,USDC,usd-coin,"$4,208,024,428.08",$0.9997,4.209.136.024 USDC *,"$1,828,596,898.69","0,01%","-0,04%","-0,03%"
12,Wrapped Bitcoin,WBTC,wrapped-bitcoin,"$3,819,401,682.96","$33,008.13",115.711 WBTC *,"$317,864,544.05","-0,53%","2,62%","25,80%"
13,Bitcoin SV,BSV,bitcoin-cash-sv,"$3,190,473,983.67",$171.39,18.615.214 BSV,"$724,762,386.40","0,60%","5,09%","2,44%"
14,Stellar,XLM,stellar,"$2,989,656,210.89",$0.1364,21.914.609.976 XLM *,"$694,141,229.00","1,68%","6,73%","-5,90%"
15,EOS,EOS,eos,"$2,625,024,378.63",$2.80,939.168.384 EOS *,"$4,016,977,942.27","0,11%","6,42%","2,96%"
16,Monero,XMR,monero,"$2,458,046,204.50",$138.06,17.803.618 XMR,"$1,234,835,529.46","-0,57%","-3,53%","-12,21%"
17,THETA,THETA,theta-token,"$2,121,383,111.85",$2.12,1.000.000.000 THETA *,"$216,740,061.08","-2,52%","-11,62%","57,58%"
18,TRON,TRX,tron,"$2,113,567,006.58",$0.02949,71.659.657.369 TRX *,"$1,496,675,629.12","0,31%","8,36%","2,25%"
