Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,bitcoin,"$907,791,525,235.93","$48,199.95",18.833.868 BTC,"$26,638,115,879.34","0,44%","1,02%","11,55%"
2,Ethereum,ETH,ethereum,"$402,619,122,253.94","$3,418.36",117.781.416 ETH,"$15,516,566,862.06","0,30%","0,79%","11,63%"
3,Binance Coin,BNB,binancecoin,"$72,384,475,441.52",$430.51,168.137.036 BNB *,"$1,470,899,247.79","0,27%","0,56%","25,08%"
4,Cardano,ADA,cardano,"$72,177,771,731.76",$2.25,32.038.100.544 ADA,"$2,331,706,759.42","0,21%","0,06%","2,01%"
5,Tether,USDT,tether,"$68,037,739,842.11",$1.00,68.024.069.675 USDT *,"$61,784,201,196.95","-0,01%","-0,01%","-0,05%"
6,Solana,SOL,solana,"$51,403,969,858.98",$172.59,297.840.086 SOL *,"$3,149,579,954.08","1,08%","2,07%","27,18%"
7,XRP,XRP,ripple,"$49,329,658,369.86",$1.06,46.750.439.262 XRP *,"$3,496,121,109.11","0,29%","1,59%","11,69%"
8,USD Coin,USDC,usd-coin,"$32,215,973,731.74",$0.9997,32.226.249.729 USDC *,"$2,262,697,516.44","0,00%","-0,01%","-0,06%"
9,Polkadot,DOT,polkadot,"$31,706,484,564.47",$32.11,987.579.315 DOT *,"$1,294,791,998.37","0,55%","-0,05%","11,37%"
10,Dogecoin,DOGE,dogecoin,"$29,169,261,268.22",$0.2217,131.542.299.403 DOGE,"$1,070,267,896.20","0,53%","1,19%","8,19%"
11,Terra,LUNA,terra-luna,"$17,088,164,886.14",$42.74,399.793.403 LUNA *,"$2,042,994,989.00","-0,39%","3,05%","23,37%"
12,Uniswap,UNI,uniswap,"$15,905,262,491.67",$26.00,611.643.724 UNI *,"$402,608,635.81","0,33%","-0,67%","8,22%"
13,Avalanche,AVAX,avalanche-2,"$15,137,441,435.11",$68.72,220.286.577 AVAX *,"$1,003,680,420.93","0,03%","-0,73%","2,77%"
14,Binance USD,BUSD,binance-usd,"$13,103,985,082.07",$0.9997,13.107.973.510 BUSD *,"$4,373,199,103.40","-0,01%","-0,03%","-0,07%"
15,Chainlink,LINK,chainlink,"$12,580,965,599.80",$27.56,456.509.554 LINK *,"$962,924,866.06","0,35%","2,27%","12,02%"
16,Algorand,ALGO,algorand,"$12,128,198,713.65",$1.99,6.101.743.743 ALGO *,"$827,903,085.64","1,14%","11,83%","12,07%"
17,Litecoin,LTC,litecoin,"$11,397,285,466.40",$170.61,66.803.165 LTC,"$3,020,051,826.05","-0,08%","0,80%","13,26%"
18,Bitcoin Cash,BCH,bitcoin-cash,"$10,761,235,991.61",$570.50,18.862.838 BCH,"$1,336,434,934.98","0,08%","3,23%","13,27%"
19,Wrapped Bitcoin,WBTC,wrapped-bitcoin,"$9,930,114,001.34","$48,234.77",205.870 WBTC *,"$274,373,833.05","0,44%","1,03%","11,50%"
20,Polygon,MATIC,matic-network,"$8,843,328,492.30",$1.33,6.672.300.637 MATIC *,"$830,568,656.84","1,60%","2,22%","18,02%"
21,Cosmos,ATOM,cosmos,"$8,625,166,307.66",$38.79,222.351.601 ATOM *,"$941,369,104.32","-0,03%","0,09%","-2,09%"
