Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,bitcoin,"$320,025,834,692.40","$16,625.08",19.249.581 BTC,"$9,244,361,699.89","0,07%","0,47%","-1,29%"
2,Ethereum,ETH,ethereum,"$146,966,709,631.13","$1,200.96",122.373.866 ETH *,"$2,399,674,550.06","-0,04%","0,35%","-1,48%"
3,Tether,USDT,tether,"$66,243,294,943.48",$0.9997,66.263.713.431 USDT *,"$11,344,984,017.59","0,00%","0,00%","-0,03%"
4,USD Coin,USDC,usd-coin,"$44,584,840,756.22",$0.9999,44.585.140.660 USDC *,"$1,197,927,575.87","-0,01%","0,00%","-0,01%"
5,BNB,BNB,binancecoin,"$39,053,263,491.06",$244.14,159.964.553 BNB *,"$278,651,736.60","-0,31%","-0,90%","0,41%"
6,XRP,XRP,ripple,"$17,054,534,692.06",$0.3388,50.343.500.506 XRP *,"$290,828,851.37","0,07%","-0,34%","-2,20%"
7,Binance USD,BUSD,binance-usd,"$16,566,063,279.88",$1.00,16.560.434.934 BUSD *,"$2,236,386,722.01","-0,01%","0,01%","0,01%"
8,Dogecoin,DOGE,dogecoin,"$9,316,760,628.85",$0.07022,132.670.764.300 DOGE,"$185,279,749.98","0,05%","-0,10%","-7,54%"
9,Cardano,ADA,cardano,"$8,621,727,158.32",$0.2498,34.518.582.841 ADA *,"$113,369,988.73","0,26%","1,34%","-3,66%"
10,Polygon,MATIC,matic-network,"$6,637,843,574.08",$0.76,8.734.317.475 MATIC *,"$106,486,710.51","0,27%","0,19%","-4,42%"
11,Dai,DAI,dai,"$5,749,546,793.98",$0.9998,5.750.755.542 DAI *,"$86,042,718.04","0,02%","0,00%","-0,03%"
12,Litecoin,LTC,litecoin,"$5,095,932,559.91",$70.82,71.960.530 LTC,"$344,383,885.20","-0,01%","1,17%","2,33%"
13,TRON,TRX,tron,"$5,041,253,171.65",$0.05482,91.960.656.275 TRX *,"$100,273,280.18","-0,07%","0,59%","0,01%"
14,Polkadot,DOT,polkadot,"$5,035,576,982.99",$4.37,1.152.090.766 DOT *,"$86,051,503.54","-0,06%","1,30%","-2,72%"
15,Shiba Inu,SHIB,shiba-inu,"$4,460,494,919.94",$0.00000812,549.063.278.876.302 SHIB *,"$54,630,953.51","0,14%","0,45%","-2,00%"
16,Uniswap,UNI,uniswap,"$3,998,664,734.41",$5.25,762.209.327 UNI *,"$31,380,680.62","-0,13%","1,61%","1,75%"
17,Solana,SOL,solana,"$3,671,464,072.16",$9.98,367.802.098 SOL *,"$194,221,164.19","-0,01%","0,21%","-12,34%"
18,Avalanche,AVAX,avalanche-2,"$3,385,625,121.75",$10.87,311.582.143 AVAX *,"$95,741,904.23","0,01%","-0,34%","-7,01%"
19,UNUS SED LEO,LEO,leo-token,"$3,361,642,259.36",$3.52,953.954.130 LEO *,"$2,212,409.99","0,34%","-2,35%","-2,50%"
20,Wrapped Bitcoin,WBTC,wrapped-bitcoin,"$3,041,420,123.05","$16,561.12",183.648 WBTC *,"$31,584,913.42","0,05%","0,37%","-1,46%"
21,Chainlink,LINK,chainlink,"$2,856,200,812.20",$5.62,507.999.970 LINK *,"$109,175,362.35","0,09%","0,97%","-6,07%"
22,Toncoin,TON,the-open-network,"$2,817,518,613.94",$2.31,1.221.401.181 TON *,"$41,535,552.58","-0,20%","5,87%","-5,12%"
23,Monero,XMR,monero,"$2,707,283,905.23",$148.58,18.221.427 XMR,"$36,453,346.89","-0,06%","0,88%","2,27%"
24,Cosmos,ATOM,cosmos,"$2,710,342,840.08",$9.46,286.370.297 ATOM *,"$61,685,236.33","0,31%","1,24%","4,92%"
